OriginId,Latitude_mean,Longitude_mean,Name
10012109,54.553667,-6.0169635,"Twinbrook, Páirc na Silíní"
10012109,54.553667,-6.0169635,"Twinbrook, Cherry Park"
10012106,54.554951,-6.0191125,"Twinbrook, Aspen Walk"
10012106,54.554951,-6.0191125,"Twinbrook, Siúlán an Chrainn Chreathaigh"
10007810,54.5722665,-6.000662,"Andersonstown, Naomh Genevieve"
10007810,54.5722665,-6.000662,"Andersonstown, St Genevieve's"
10006048,54.5578625,-6.012237000000001,"Dunmurry, Credenhill"
10006048,54.5578625,-6.012237000000001,"Dunmurry, Lána Dhún Muirígh Uachtarach"
10006047,54.560322,-6.01562,"Dunmurry, Corrina Park"
10006047,54.560322,-6.01562,"Dunmurry, Páirc Corrina"
10012114,54.5549685,-6.021833,"Twinbrook, Naomh Lúcas"
10012114,54.5549685,-6.021833,"Twinbrook, St Lukes"
10012611,54.562223,-6.017291,"Suffolk, Cloona"
10011597,54.569246,-6.007701,"Suffolk, Lenadoon Avenue (Andersonstown Road)"
10011596,54.567021,-6.012294,"Suffolk, Sruthán na Coille"
10011596,54.567021,-6.012294,"Suffolk, Woodbourne (Andersonstown Road)"
10007811,54.569845,-6.006959999999999,"Suffolk, Lenadoon Avenue (Andersonstown Road)"
10012606,54.567073,-6.012184,"Suffolk, Suffolk Road"
10012601,54.567801,-6.010524,"Suffolk, Woodbourne (Andersonstown Road)"
10011581,54.5643765,-6.0058655000000005,"Suffolk, Blacks Court"
10011581,54.5643765,-6.0058655000000005,"Suffolk, Cúirt Mhic Giolla Dhuibh"
10006054,54.560085,-5.997725,"Dunmurry, Oakhurst"
10006054,54.560085,-5.997725,"Dunmurry, Black's Road St Anne's"
10006043,54.56044,-5.998512,"Dunmurry, Balmoral Hotel"
10006043,54.56044,-5.998512,"Dunmurry, Óstán Balmoral"
10011598,54.56507,-6.008399,"Suffolk, Trenchard"
10007803,54.5641095,-6.0041235,"Ladybrook, Bothar Mhic Giolla Dhuibh (Oakhurst)"
10007803,54.5641095,-6.0041235,"Ladybrook, Brooke Drive"
10011592,54.566072,-6.010345,"Suffolk, Ringford Park"
10007804,54.562884,-6.001237000000001,"Ladybrook, Bothar Mhic Giolla Dhuibh (Ostan Balmoral)"
10007804,54.562884,-6.001237000000001,"Ladybrook, Brooke Park"
10007802,54.560804000000005,-5.998787999999999,"Ladybrook, Balmoral Hotel"
10007802,54.560804000000005,-5.998787999999999,"Ladybrook, Óstán Balmoral"
10012586,54.562884,-6.001222,"Ladybrook, Garnock Hill"
10006269,54.556796,-5.994484,"Finaghy, PRBR Black's Road Park & Ride"
10006269,54.556796,-5.994484,"Finaghy, Black's Road Park and Ride"
10011582,54.565776,-6.009803,"Suffolk, Erris Grove"
10011582,54.565776,-6.009803,"Suffolk, Brooke Drive"
10002340,54.590737,-5.977032,"Ballymurphy, St Maria Goretti Nursery Sch"
10001175,54.583903,-5.991389,"Andersonstown, Opp Aitnamona Crescent"
10012101,54.58986899999999,-5.992906,"Turf Lodge, Turf Lodge Shops"
10002342,54.591103,-5.980093,"Ballymurphy, Whiterock B.I.F.H.E"
10002334,54.5916,-5.981895,"Ballymurphy, Ballymurphy Road"
10012387,54.593422,-5.986092,"Whiterock, Whiterock Library"
10002344,54.591156000000005,-5.980601,"Ballymurphy, Whiterock Road B.I.H.F.E"
10002335,54.590434,-5.974772,"Ballymurphy, Brittons Parade"
10012102,54.592942,-5.990155000000001,"Turf Lodge, Mount Alverno Garage"
10001170,54.582181000000006,-5.9896785,"Andersonstown, Glen Road"
10012099,54.592686,-5.990461,"Turf Lodge, Mount Alverno Garage"
10012097,54.591759,-5.982289,"Ballymurphy, Ballymurphy Road"
10012103,54.591891,-5.991259,"Turf Lodge, Whiterock Business Park"
10012104,54.58971700000001,-5.99296,"Turf Lodge, Turf Lodge Shops"
10012098,54.586597,-5.991782,"Turf Lodge, Monagh Road"
10001160,54.583871,-5.991592,"Andersonstown, Aitnamona Crescent"
10012100,54.586515000000006,-5.991724,"Turf Lodge, Monagh Road"
10012386,54.593863,-5.987215,"Whiterock, St Aidans"
10012105,54.592889,-5.984818,"Whiterock, Whiterock Leisure Centre"
10012612,54.559023,-6.023848,"Poleglass, Colin Terminus"
10012602,54.562902,-6.020351,"Suffolk, Upper Dunmurry Lane"
10012111,54.56174300000001,-6.021428,"Twinbrook, Colin Connect"
10006213,54.598928,-5.9595915,"Falls, Blackstaff Bar"
10011240,54.601561,-5.968693,"Springfield (Belfast), Springvale Campus"
10006233,54.597795,-5.958480000000001,"Falls, Iris Street"
10006231,54.595131,-5.950302,"Falls, Gibson Street"
10012384,54.595588,-5.985519999999999,"Whiterock, New Barnsley Drive"
10006246,54.595487,-5.953256,"Falls, Royal Hospitals"
10006255,54.59725600000001,-5.957965,"Falls, Iris Street"
10011241,54.60014399999999,-5.970451000000001,"Springfield (Belfast), Springvale Parade"
10006238,54.595367,-5.944625,"Falls, Recreation Centre"
10006239,54.595277,-5.94723,"Falls, Roden Street"
10006248,54.599924,-5.960556,"Falls, Millennium Way"
10011230,54.60164,-5.9631940000000005,"Springfield (Belfast), Elswick Street"
10011236,54.602229,-5.965131,"Springfield (Belfast), Pollard Street"
10011237,54.600889,-5.969315,"Springfield (Belfast), Springdale Gardens"
10011243,54.599459,-5.97194,"Springfield (Belfast), Springfield Roundabout"
10011244,54.602384,-5.965789,"Springfield (Belfast), Workman Avenue"
10006229,54.601462,-5.962785,"Falls, Lanark Way"
10006247,54.599814,-5.960453,"Falls, Millennium Way"
10006240,54.59559399999999,-5.953776,"Falls, Royal Victoria Hospital"
10006240,54.59559399999999,-5.953776,"Falls, Royal Hospital Grosvenor Road"
10006234,54.59525,-5.947804,"Falls, Roden Street"
10006219,54.595312,-5.94616,"Falls, Cullingtree Road"
10003982,54.595748,-5.936388,"Belfast, Great Victoria Street"
10002337,54.597593,-5.976429,"Ballymurphy, Springmartin Road"
10002338,54.597598,-5.979941999999999,"Ballymurphy, Springfield Park"
10012382,54.59683199999999,-5.983586,"Whiterock, Divismore Park"
10012381,54.594804,-5.987029,"Whiterock, Divismore Crescent"
10012385,54.594735,-5.987188,"Whiterock, New Barnsley Parade"
10012383,54.596586,-5.983954,"Whiterock, Divismore Park "
10002339,54.597607,-5.979988,"Ballymurphy, Springfield Park"
10002343,54.5983,-5.9746760000000005,"Ballymurphy, Dunboyne Park"
10011231,54.59952,-5.971813,"Springfield (Belfast), Farset Int."
10002336,54.598421,-5.97436,"Ballymurphy, Dunboyne Park"
10003940,54.596688,-5.93829,"Belfast, Durham Street"
10006245,54.595148,-5.949728,"Falls, Servia Street"
10001454,54.618425,-5.960922999999999,"Ardoyne, Etna Drive"
10001449,54.617987,-5.9631905,"Ardoyne, Berwick Road"
10012476,54.608472500000005,-5.973272,"Ballygomartin, West Circular Road"
10011255,54.605498,-5.974357,"Springmartin, West Circular Crescent"
10012465,54.607002,-5.9737405,"Ballygomartin, Ballygomartin Baptist Church"
10012467,54.6097785,-5.9672855,"Woodvale, Woodvale Park"
10012473,54.611717,-5.9673745,"Woodvale, Woodvale Parade"
10012474,54.613082000000006,-5.965433,"Woodvale, Woodvale Drive"
10010007,54.62266700000001,-5.95138,"Oldpark, Golf Course"
10010016,54.62483100000001,-5.948607,"Oldpark, Oldpark Terminus"
10010014,54.621519500000005,-5.950191,"Oldpark, Knutsford Drive"
10010004,54.622701,-5.9512540000000005,"Oldpark, Cliftonville Golf Club"
10010019,54.62082433333333,-5.955065333333334,"Oldpark, Oldpark Road"
10010005,54.619269,-5.957714,"Oldpark, Jamaica Street"
10001447,54.617455500000005,-5.966082,"Ardoyne, Alliance Avenue"
10001448,54.614401,-5.965870000000001,"Ardoyne, Ardoyne Shops"
10002341,54.599368000000005,-5.9734620000000005,"Ballymurphy, Springfield"
10011251,54.601178,-5.9742465,"Springmartin, High Side"
10011256,54.603971,-5.974642,"Springmartin, High Gate"
10001451,54.615689,-5.966596,"Ardoyne, Cranbrook Court"
10010011,54.61906,-5.958065,"Oldpark, Jamaica Street"
10001453,54.615399,-5.966409,"Ardoyne, Cranbrook Court"
10012466,54.607795,-5.973353,"Woodvale, Ballygomartin Pres Lecture Hall"
10011257,54.60426700000001,-5.974642,"Springmartin, High Gate"
10011249,54.602487,-5.974576,"Springmartin, Springfield Parade"
10010003,54.6218155,-5.9557590000000005,"Oldpark, Cliftonville Circus"
10010006,54.622869,-5.959066999999999,"Oldpark, Dunkeld Gardens"
10010006,54.622869,-5.959066999999999,"Oldpark, Belfast Model School for Girls"
10002510,54.62651,-5.965567999999999,"Ballysillan, Oldpark Shops"
10002502,54.630483,-5.9615975,"Ballysillan, Belfast Boys' Model School"
10001452,54.623882,-5.9616025,"Oldpark, Deerpark Road"
10001456,54.625393,-5.963773000000001,"Ardoyne, Joanmount Park"
10002505,54.6281595,-5.965059500000001,"Ballysillan, Formby Park"
10002499,54.62973100000001,-5.963122,"Ballysillan, Ballysillan Road"
10012112,54.552942,-6.027342,"Lagmore, Lagmore grove"
10011881,54.59187,-5.948508,"The Village, Europa Busway"
10000566,54.5950995,-5.936281,"Belfast, Europa Buscentre"
10000566,54.5950995,-5.936281,"Belfast, EBC Europa Buscentre"
10000566,54.5950995,-5.936281,"Belfast, Europa Buscentre (Glengall St)"
10000566,54.5950995,-5.936281,"Belfast, Europa Stand One"
10000566,54.5950995,-5.936281,"Belfast, Stand"
10000566,54.5950995,-5.936281,"Belfast, Europa Bus Station"
10006052,54.559315000000005,-5.997330000000001,"Dunmurry, Oakhurst"
10011054,54.60783,-5.963079,"Shankill, Woodvale Park"
10001455,54.6159095,-5.968171999999999,"Ardoyne, Everton Complex"
10001459,54.6165915,-5.9692065,"Ardoyne, Somerdale Park"
10001457,54.617574,-5.970714,"Ardoyne, Mercy Primary School"
10011052,54.604384,-5.9546205,"Shankill, Tennent Street"
10011042,54.604303,-5.9522015,"Shankill, Berlin Street"
10011044,54.604124000000006,-5.9490525000000005,"Shankill, Spier's Place"
10004007,54.6032145,-5.937047,"Belfast, Peter's Hill"
10001446,54.61833000000001,-5.971869,"Ardoyne, Abbeydale Park"
10012477,54.611812,-5.963421500000001,"Woodvale, Woodvale Parade"
10011049,54.6105525,-5.963322,"Shankill, Mount Eden Court"
